year,month,day,station_id
2022,5,24,TCVG
2022,1,13,KSFX
2022,7,31,TCLT
2023,10,3,KLIX
2023,5,2,KBUF
2023,10,5,KBBX
2022,8,18,KCLE
2023,11,17,KMQT
2022,11,28,KCRP
2023,3,17,KLWX
2022,8,1,KATX
2022,2,22,KMAF
2023,2,3,KBHX
2023,8,21,KAMX
2022,9,20,TDEN
2022,5,13,KFSX
2022,9,30,RKSG
2022,4,6,KMRX
2023,2,21,KBHX
2023,8,6,KEOX
2022,12,29,KTYX
2023,4,19,TBNA
2022,9,31,KTLH
2023,8,8,KPUX
2022,6,7,PACG
2023,3,24,TSJU
2023,4,9,KHDX
2022,12,25,TRDU
2023,1,13,KSFX
2022,8,24,KFSX
2022,3,28,THOU
2023,1,23,KEWX
2023,6,1,KMLB
2023,3,10,KHNX
2022,2,8,TJFK
2023,1,31,KFFC
2022,8,11,KFWS
2022,9,4,TMSY
2023,4,7,KFSX
2023,9,21,KAMX
2023,12,24,KNQA
2023,1,5,KARX
2023,4,21,TDCA
2022,3,8,KFCX
2023,9,13,KBRO
2022,1,29,KHDX
2022,6,15,TTPA
2023,4,23,KLNX
2022,1,21,KOAX
2022,11,12,TEWR
2023,12,12,KMLB
2022,10,14,KSGF
2023,5,9,KABR
2023,6,30,KSFX
2023,4,24,KHNX
2023,1,3,KLCH
2022,4,4,KEWX
2022,10,27,LPLA
2023,9,21,KFSD
2022,7,13,KRTX
2023,1,25,TCVG
2022,2,16,KPUX
2023,7,5,TSJU
2022,9,24,KIND
2023,9,4,KGLD
2023,3,15,KLCH
2023,6,19,KRGX
2023,12,21,TMDW
2022,7,4,KMPX
2022,3,3,PABC
2022,8,4,KMVX
2023,3,14,KRAX
2023,5,11,KGRR
2023,9,8,KUEX
2023,7,9,KDVN
2023,2,23,KJKL
2023,10,14,KIWX
2023,10,12,TSLC
2022,6,9,KGLD
2022,12,11,KESX
2023,3,3,KBIS
2022,7,8,TBNA
2022,5,9,KDOX
2022,11,18,KVBX
2022,1,21,KTFX
2023,4,31,TPHX
2022,9,28,TJRV
2023,11,27,KCBX
2022,12,21,KEWX
2022,1,14,KNKX
2023,12,10,TSTL
2023,6,4,KMBX
2023,10,16,KPDT
2023,9,10,KSRX
2023,11,12,KLRX
2022,11,25,KCBX
2023,8,9,KFDX
